Partei: Nr.,Partei: Kurzbezeichnung,Partei: Name,These: Nr.,These: Titel,These: These,Position: Position,Position: Begründung
28,BSW,Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit,19,Regeln und Werte der EU,"EU-Fördermittel für Mitgliedstaaten, die Regeln und Werte der EU verletzen, sollen weiterhin zurückgehalten werden.",stimme zu,Hier braucht es jedoch klare und einheitliche Kriterien. Die EU-Fördermittel dürfen kein Instrument der politischen Willkür sein.
29,DAVA,Demokratische Allianz für Vielfalt und Aufbruch,19,Regeln und Werte der EU,"EU-Fördermittel für Mitgliedstaaten, die Regeln und Werte der EU verletzen, sollen weiterhin zurückgehalten werden.",stimme zu,"Es ist wichtig, dass die EU-Fördermittel als Anreiz und Belohnung für die Einhaltung der gemeinsamen Regeln und Werte dienen. Die Rückhaltung von Mitteln bei Verstößen stellt sicher, dass die Integrität der EU-Normen gewahrt bleibt und zeigt, dass Verstöße nicht toleriert werden. Dies fördert die Rechtsstaatlichkeit und den Zusammenhalt innerhalb der EU."
30,KLIMALISTE,Klimaliste Deutschland,19,Regeln und Werte der EU,"EU-Fördermittel für Mitgliedstaaten, die Regeln und Werte der EU verletzen, sollen weiterhin zurückgehalten werden.",stimme zu,"Kandidatenmeinung: Die EU ist ein Netzwerk aus Staaten, die ein gemeinsames Wertesystem haben und erhalten wollen. Bei Verstößen gegen diese Werte und Regeln ist die Kürzung ein probates Mittel, um darauf zu reagieren. Um die Vorteile der EU Zugehörigkeit zu genießen, sollten die Regeln und Werte der EU eingehalten werden und die EU Mittel haben, um dies nötigenfalls durchzusetzen, ohne einen Staat sofort ausschließen zu müssen."
31,LETZTE GENERATION,Parlament aufmischen – Stimme der Letzten Generation,19,Regeln und Werte der EU,"EU-Fördermittel für Mitgliedstaaten, die Regeln und Werte der EU verletzen, sollen weiterhin zurückgehalten werden.",neutral,"Welcher EU-Mitgliedstaat verletzt aktuell nicht die Regeln und Werte der EU? Menschen sterben an den EU-Außengrenzen, die EU selbst zwingt sie durch Ausbeutung und das Befeuern der Klimakatastrophe zur Flucht. Grundsätzlich sind Sanktionen für Menschenrechts- und Werteverstöße wichtig, wenn sie zu einer Verbesserung der Lebenssituation der Leidenden beitragen."
32,PDV,Partei der Vernunft,19,Regeln und Werte der EU,"EU-Fördermittel für Mitgliedstaaten, die Regeln und Werte der EU verletzen, sollen weiterhin zurückgehalten werden.",neutral,"Wir sind der Auffassung, die EU sollte zurückkehren zu ihren Wurzeln und sich auf einen zollfreien Handelsraum beschränken; Fördermittel sollten nicht mehr gewährt werden, schon gar nicht werteorientiert."
33,PdF,Partei des Fortschritts,19,Regeln und Werte der EU,"EU-Fördermittel für Mitgliedstaaten, die Regeln und Werte der EU verletzen, sollen weiterhin zurückgehalten werden.",stimme zu,"Die große Mehrheit in Europa möchte, dass EU-Gelder nur noch an Mitgliedsländer gehen, die die Rechtsstaatsregeln und Meinungsfreiheit einhalten. Immer weniger Europäer wollen zusehen, wie Korruption und undemokratische Politik mit ihren Steuergeldern unterstützt werden. Diese Maßnahme trifft aber die gesamte Bevölkerung, sodass ein Aufbegehren gegen die EU eine Folge sein kann. Besser wäre, der Europäische Gerichtshof würde die demokratischen Grundprinzipien durchsetzen."
34,V-Partei³,"V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",19,Regeln und Werte der EU,"EU-Fördermittel für Mitgliedstaaten, die Regeln und Werte der EU verletzen, sollen weiterhin zurückgehalten werden.",stimme zu,"Die EU hat sich auf Grundregeln geeinigt und wenn diese nicht eingehalten werden, muss es Sanktionsmöglichkeiten geben. Nachdem Geldentzug eine sehr wirkungsvolle Sanktionsmöglichkeit ist, sollte diese auch bestehen bleiben."
1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,stimme zu,"Die Ukraine muss beim Kampf für ihre Freiheit und ihre territoriale Integrität weiterhin unsere umfassende Unterstützung erhalten. Das schließt auch die sogenannte Europäische Friedensfazilität zur Finanzierung militärischer Ausrüstung ein. Nur wenn Putin einsieht, dass er die Ukraine militärisch nicht bezwingen kann, wird er zu Friedensgesprächen bereit sein."
2,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,stimme zu,"Gerade weil wir Frieden wollen, stehen wir fest an der Seite der Ukrainer*innen, die sich gegen die völkerrechtswidrige Aggression Russlands wehren. Sie verteidigen nicht nur ihr Land, sondern auch unsere Freiheit. Denn sollte die Ukraine jetzt aufhören zu kämpfen, würde das nicht mehr Frieden bedeuten. Es wäre das Ende der Ukraine und eine Einladung an Wladimir Putin, weiterzumachen. Deshalb muss die EU die Ukraine weiterhin unterstützen – politisch, finanziell, humanitär und militärisch."
3,SPD,Sozialdemokratische Partei Deutschlands,20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,stimme zu,"Putins völkerrechtswidriger Angriffskrieg hat die Friedensordnung in Europa, welche nach dem Zweiten Weltkrieg mühsam errichtet wurde, ernsthaft erschüttert. Die Ukraine verteidigt nicht nur sich selbst, sondern auch den Frieden in Europa. Wir unterstützen deshalb die Ukraine so umfassend, wie wir können, immer in enger Abstimmung mit unseren internationalen Partnerinnen und Partnern und ohne selbst zur Kriegspartei zu werden."
4,AfD,Alternative für Deutschland,20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,stimme nicht zu,Die AfD ist strikt gegen Waffenlieferungen an die Ukraine. Der Konflikt muss auf diplomatischem Wege beendet werden. Weitere Waffenlieferungen führen zu einer Verlängerung des Krieges mit unzähligen Toten und Verletzten auf beiden Seiten.
5,DIE LINKE,DIE LINKE,20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,stimme nicht zu,"Die EU hat massive Militärhilfen für die Ukraine bereitgestellt, im Verbund mit den nationalen Hilfen vor allem der USA, Großbritanniens und Deutschlands. Sie haben zu keiner Wende im Krieg geführt. Vielmehr ist ein Wettrüsten angefangen worden, das auf Kosten von Sozialpolitik geht, wie etwa der Kindergrundsicherung. Wir wollen, dass stattdessen alles dafür getan wird, dass Verhandlungen um Waffenstillstand und für einen Friedensprozess eingeleitet werden."
6,FDP,Freie Demokratische Partei,20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,stimme zu,"Russland führt einen völkerrechtswidrigen Angriffskrieg gegen die Ukraine, die nach Freiheit und Demokratie strebt. Wir stehen weiter fest entschlossen an der Seite der Ukraine. Sie muss den Krieg gewinnen und ihre territoriale Integrität und Souveränität zurückerlangen. Dafür muss die EU die Ukraine weiterhin humanitär, finanziell, wirtschaftlich und militärisch stärker unterstützen – auch mit der zusätzlichen Lieferung dringend benötigter Waffensysteme wie dem Marschflugkörper Taurus."
7,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,neutral,"Die EU sollte Waffen für jeden Ukrainer finanzieren, wobei jeder Ukrainer ebenso entscheiden dürfen sollte, ob er als Waffenbedienungskraft eingesetzt werden will."
8,FREIE WÄHLER,FREIE WÄHLER,20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,stimme zu,"Wir unterstützen die Ukraine bei der Wiederherstellung ihrer vollen territorialen Unversehrtheit. Wir setzen uns dafür ein, dass Europa dem Land bei der Stärkung seiner inneren Stabilität und seiner gesellschaftlichen Fortentwicklung auf der Basis unserer europäischen Grundwerte zur Seite steht."
9,Tierschutzpartei,PARTEI MENSCH UMWELT TIERSCHUTZ,20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,neutral,"Die Ukraine sollte in ihrem Recht auf Selbstverteidigung und Schutz von Leben und Souveränität unterstützt werden, was die Finanzierung von reinen Verteidigungswaffen beinhaltet. Da die Unterscheidung von Verteidigungs- und Angriffswaffen nicht in jedem Einzelfall exakt vorgenommen und sichergestellt werden kann, können wir keine pauschale Beantwortung vornehmen."
10,ÖDP,Ökologisch-Demokratische Partei - Die Naturschutzpartei,20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,stimme zu,"Im Falle des völkerrechtswidrigen Angriffskrieges sieht die ÖDP eine moralische Pflicht der Ukraine mit Waffenlieferungen zur Seite zu stehen. Die Sanktionen gegen Russland müssen jedoch vollumfänglich umgesetzt und die Lieferung fossiler Energien wirksam unterbunden werden, beides ist derzeit nicht der Fall. Gleichzeitig brauchen wir diplomatische Gespräche und schließlich Verhandlungen, um diesen Krieg möglichst schnell zu beenden."
11,FAMILIE,Familien-Partei Deutschlands,20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,neutral,"Unser Europaabgeordneter der Familien-Partei ist Co Vorsitzender im Euronest POL Ausschuss für politische Angelegenheiten, Demokratie und Menschenrechte u.a. für die.Ukraine. Er weiß, wovon er redet wenn er sagt, dass Putin gestoppt werden muss. Jede Waffenlieferung muss ein Diplomatischer Vorstoß vorgeschaltet sein um Frieden zu schaffen. Wir brauchen einfach mehr Diplomatie. Die Lebenserwartung eines Ukrainischen Soldaten in der Ostukraine beträgt 4 Stunden. Dieser Irrsinn muss ein Ende finden."
12,Volt,Volt Deutschland,20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,stimme zu,"Die Ukraine befindet sich ohne eigenes Verschulden im legitimen Abwehrkampf gegen eine brutale Invasion durch Russland. Die Lieferung von Waffen durch die EU versetzt die Ukraine in die Lage, ihre Bürger*innen zu schützen."
13,PIRATEN,Piratenpartei Deutschland,20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,stimme zu,"Die Piratenpartei fordert, dass die Ukraine mit allen zur Verfügung stehenden Mitteln unterstützt werden muss, inklusive der Lieferung schwerer Waffen. Die Ukraine kämpft den Kampf Europas um seine Freiheit. Jeder in Waffenlieferungen investierte Euro ist einer, der sich zigfach für die Sicherheit Europas auszahlt. Angesichts der zunehmend instabilen globalen Sicherheitslage setzen sich die Piraten für eine leistungsfähige heimische Rüstungsindustrie ein."
14,MERA25,MERA25 - Gemeinsam für Europäische Unabhängigkeit,20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,stimme nicht zu,"Die Forderung nach Frieden verkennt nicht die brutale militärische Intervention, die Verbrechen gegen die Zivilbevölkerung und die enorme materielle Zerstörung durch Putins Angriffskrieg. Unsere Ziele der Demokratisierung, der Entmilitarisierung und des Friedens müssen mit einer pragmatischen Herangehensweise an die aktuelle Situation einhergehen: Sofortiger Waffenstillstand, gegenseitiges Nichtangriffsprotokoll, Grundlage des nordirischen Karfreitagsabkommens, UN-vermittelte Verhandlungen."
15,HEIMAT,Die Heimat,20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,stimme nicht zu,"Statt immer mehr Waffen in die Ukraine zu schaffen und damit selbst zur Kriegspartei zu werden, muss es die Aufgabe Deutschlands und Europas sein, endlich den Weg für einen Frieden zwischen Russland und der Ukraine zu ebnen. Das wird aber nur funktionieren, wenn man die Interessen beider ernst nimmt und respektiert."
16,TIERSCHUTZ hier!,Aktion Partei für Tierschutz,20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,stimme nicht zu,"Nein, wozu? Die Partei ""TIERSCHUTZ hier!"" befürwortet keine Finanzierung von Waffen zur Verlängerung von Kriegen. Krieg bedeutet immer immenses Leiden für unbeteiligte Menschen und Tiere. Die Ukraine kann keinen Krieg mit Russland ""gewinnen""."
17,Partei für schulmedizinische Verjüngungsforschung,Partei für schulmedizinische Verjüngungsforschung,20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,neutral,"Die Partei für schulmedizinische Verjüngungsforschung ist eine Ein-Themen-Partei, deren einziges Ziel es ist, die Entwicklung wirksamer Medizin gegen Alterskrankheiten durch wesentlich mehr staatliche Investitionen zu beschleunigen. Mehr als 100.000 Menschen sterben täglich an den Folgen des Alterns. Mit zukünftiger Medizin werden Menschen durch Verjüngung wahrscheinlich nicht mehr an Alterskrankheiten oder hohem Alter sterben und tausende Jahre gesund leben können."
18,BIG,Bündnis für Innovation & Gerechtigkeit,20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,stimme nicht zu,"Eine verstärkte militärische Unterstützung verschärft die Spannungen in der Region weiter, die zu einer Eskalation des Konflikts führen könnte. Eine solche Maßnahme erschwert die Möglichkeit einer diplomatischen Lösung und erhöht das Risiko einer direkten Konfrontation mit Russland."
19,Bündnis C,Bündnis C - Christen für Deutschland,20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,neutral,"Wir sehen nicht, dass der Krieg allein mit Waffenlieferungen an die Ukraine und Sanktionen gegen Russland zu gewinnen oder zu beenden ist. Wir sehen Europa in der Verantwortung, Friedensinitiativen zur Unterstützung der Ukraine zu erarbeiten und dabei seine Erfahrungen jahrzehntelanger Entspannungspolitik zu nutzen. Das biblische Gebot, auch unsere Feinde zu lieben, kann dabei Leitlinie sein, um die Fronten aufzubrechen und auf die Beendigung der Angriffe hinzuwirken."
20,PdH,Partei der Humanisten,20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,stimme zu,"Die EU muss entschlossen und gemeinsam reagieren. Wir fordern, das garantierte Selbstverteidigungsrecht der Ukraine als souveräner Staat noch stärker zu unterstützen. Die Freiheit Europas wird aktuell in der Ukraine verteidigt. Darüber hinaus sollte vermieden werden, dass die Ukraine zu einem Präzedenzfall wird, bei dem ein Einsatz militärischer Gewalt ungestraft bleibt. Außerdem verschafft die Verteidigung der Ukraine der EU und NATO Zeit, um sich selbst militärisch neu aufzustellen."
21,MENSCHLICHE WELT,Menschliche Welt - für das Wohl und Glücklichsein aller,20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,stimme nicht zu,"Die Lieferung von Waffen an die Ukraine hält den Krieg und das Sterben Tausender von Menschen nur weiter aufrecht. Wir befürworten einen Waffenstillstand und Friedensverhandlungen. Die MENSCHLICHE WELT setzt sich grundsätzlich für zivile, politische und wohlwollende Konfliktbewältigungen ein."
22,DKP,Deutsche Kommunistische Partei,20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,stimme nicht zu,"Waffenlieferungen schaffen keinen Frieden und eskalieren den Krieg. Wir sagen: Frieden mit Russland und China. Die Eskalation des Krieges 2021 war nicht der Beginn des Konflikts. NATO-Osterweiterung, Jugoslawien-Krieg, Maidan-Putsch, Krieg der Ukraine gegen Donezk und Lugansk gehören zur Geschichte des Krieges."
23,MLPD,Marxistisch-Leninistische Partei Deutschlands,20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,stimme nicht zu,Ein klares Nein zu Waffenlieferungen für alle ungerechten Kriege von NATO/EU/Ukraine und Russland! Aktiver Widerstand gegen die Weltkriegsgefahr. Für Frieden und Völkerfreundschaft!
24,SGP,"Sozialistische Gleichheitspartei, Vierte Internationale",20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,stimme nicht zu,Mit den Waffenlieferungen will Deutschland die Ukraine kontrollieren und Russland militärisch unterwerfen. 80 Jahre nach dem Vernichtungskrieg der Nazis gegen die Sowjetunion rollen deutsche Panzer wieder gegen Russland und riskieren einen Atomkrieg. Dieser Wahnsinn kann nur durch die Mobilisierung der Arbeiter auf der ganzen Welt gegen den Kapitalismus gestoppt werden. Für diese sozialistische Perspektive kämpft die SGP bei den Europawahlen.
25,ABG,Aktion Bürger für Gerechtigkeit,20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,stimme nicht zu,Frieden entsteht nur am Verhandlungstisch. Wir fordern Friedensgespräche und den sofortigen Stopp von Waffenlieferungen in die Ukraine.
26,dieBasis,Basisdemokratische Partei Deutschland,20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,stimme nicht zu,"Die Partei dieBasis lehnt Kriege generell und insbesondere als Mittel der Durchsetzung von Interessen ab. Interessenkonflikte zwischen Staaten müssen auf diplomatischem Weg gelöst werden. Dafür muss sich die EU in der Ukraine aktiv einsetzen. Die Partei dieBasis setzt sich für den sofortigen Stopp aller Waffenlieferungen aus der EU in Krisen- und Kriegsgebiete ein, da dadurch nur Tod und Leiden verlängert werden."
27,BÜNDNIS DEUTSCHLAND,BÜNDNIS DEUTSCHLAND,20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,neutral,"Die Ukraine hat gemäß Artikel 51 der UN-Charta das Recht auf Verteidigung ihrer nationalen Souveränität und territorialen Integrität im Rahmen ihrer international anerkannten Grenzen. Andere Länder haben aufgrund derselben Bestimmung das Recht, sie dabei zu unterstützen. Waffenlieferungen an die Ukraine und weitere Hilfen anderer Art sollten quantitativ und qualitativ so ausgestaltet sein, dass die Ukraine sich Angriffen wirksam zur Wehr setzen kann."
28,BSW,Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit,20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,stimme nicht zu,"Wir wollen Exporte von Waffen, Rüstung und Waffenteilen aus der EU in Krisen und Kriegsgebiete beenden."
29,DAVA,Demokratische Allianz für Vielfalt und Aufbruch,20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,stimme nicht zu,Stattdessen sollte die EU sich für eine diplomatische Lösung des Konflikts einsetzen und Bemühungen zur Förderung von Frieden und Stabilität in der Region verstärken. Militärische Lösungen sind selten nachhaltig und könnten zu weiteren Gewaltakten und menschlichem Leid führen.
30,KLIMALISTE,Klimaliste Deutschland,20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,neutral,"Kandidatenmeinung: Die Ukraine hat ein Recht auf Selbstverteidigung und die EU sollte die Ukraine auch weiterhin bei ihrer Verteidigung unterstützen. Gleichzeitig müssen alle Maßnahmen sorgfältig abgewogen werden, um einen Abnutzungskrieg zu verhindern. Neben aktuellen Bemühungen sollten die um eine diplomatische Lösung des Konflikts mit dem ersten Ziel eines Waffenstillstands intensiviert werden. Sanktionen sind zu verschärfen und der Kauf russischen Gases ist sofort vollständig einzustellen."
31,LETZTE GENERATION,Parlament aufmischen – Stimme der Letzten Generation,20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,neutral,
32,PDV,Partei der Vernunft,20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,stimme nicht zu,Wir stehen für das Prinzip der Nichteinmischung in innere Angelegenheiten von Drittstaaten; es handelt sich hier um einen Konflikt zwischen Russland und der Ukraine. Die PdV bevorzugt eine friedliche Konfliktlösung.
33,PdF,Partei des Fortschritts,20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,stimme zu,"Wenn der Diktator Putin, welcher Misshandlungen der Zivilbevölkerung gestattet, in der Ukraine siegreich ist, dann ist das ein Signal an die Welt, dass internationale Grenzen nichts wert sind und Demokratien im Stich gelassen werden. Daran können sich auch andere Staaten ein Beispiel nehmen, unsere Sicherheit wäre gefährdet. Dennoch müssen Friedensverhandlungen zum Vorteil aller Seiten gegenüber bis dahin nötigen Waffenlieferungen priorisiert werden."
34,V-Partei³,"V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",20,Waffen für die Ukraine,Die EU soll mehr Waffen für die Ukraine finanzieren.,stimme nicht zu,"Natürlich hat die Ukraine gegen den völkerrechtswidrigen Angriff das Recht auf Selbstverteidigung und es gab die Hoffnung, mit Waffenlieferungen Landverluste zurückzugewinnen. Bisherige Bemühungen haben den Krieg leider nicht zu einem Ende geführt, stattdessen stieg die Eskalation und Verwüstung und sank die zur Verfügung stehende Zahl der Soldaten. Die öffentlich zur Verfügung stehenden Informationen als Grundlage nehmend, plädieren wir für diplomatische Verhandlungen."
1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,21,Senkung der Fischfangquoten,"Die zulässige Menge an Fischen, die in EU-Gewässern gefangen werden dürfen, soll gesenkt werden.",stimme nicht zu,"Wenn Fischbestände gefährdet sind, muss die Fangmenge gesenkt werden. Dafür legt die EU jährlich Fangquoten fest. Die EU-Regelungen für die Fischerei sind schon strikt genug, daher sollte es keine pauschale Verringerung der Menge geben."
2,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,21,Senkung der Fischfangquoten,"Die zulässige Menge an Fischen, die in EU-Gewässern gefangen werden dürfen, soll gesenkt werden.",stimme zu,"Die europäischen Meere und ihre Fischbestände sind in einem schlechten Zustand. Wir wollen deshalb die Meeresumwelt besser schützen, um auch den Fischbeständen und unseren Fischer*innen eine nachhaltige Perspektive zu geben. Deshalb unterstützen wir den Aktionsplan der Europäischen Kommission zur Erhaltung der Fischereiressourcen und zum Schutz der Meeresökosysteme."
3,SPD,Sozialdemokratische Partei Deutschlands,21,Senkung der Fischfangquoten,"Die zulässige Menge an Fischen, die in EU-Gewässern gefangen werden dürfen, soll gesenkt werden.",stimme zu,"Wir streben eine nachhaltige Fischerei an. Dafür wollen wir die Fangquoten senken, damit sich die Bestände und die Ökosysteme, in denen die Fische leben, langfristig erholen können. Dazu braucht es den ganzheitlichen und wissenschaftsbasierten Blick. Der zeigt: Mit sinnvollen Quoten können sich die Bestände schneller erholen. Das ist ökologisch wie wirtschaftlich gut: Eine gewisse Zurückhaltung beim Fischfang jetzt macht eine nachhaltige Fischerei morgen und in Zukunft möglich."
4,AfD,Alternative für Deutschland,21,Senkung der Fischfangquoten,"Die zulässige Menge an Fischen, die in EU-Gewässern gefangen werden dürfen, soll gesenkt werden.",stimme nicht zu,"Die AfD bekennt sich zum aktiven Gewässerschutz und setzt sich für den Erhalt und die Förderung sowohl der Berufs- als auch der Freizeitfischerei ein. Die natürlichen Fischbestände sollen bestmöglich genutzt, aber auch geschützt werden. Dazu gehört die Förderung moderner Fischfangmethoden, um den Meeresboden zu schonen und den Beifang zu verringern. Die Ausweisung von Schongebieten und Fangbeschränkungen ist sinnvoll, soll jedoch nur in Zusammenarbeit mit den Fischern und Anglern erfolgen."
5,DIE LINKE,DIE LINKE,21,Senkung der Fischfangquoten,"Die zulässige Menge an Fischen, die in EU-Gewässern gefangen werden dürfen, soll gesenkt werden.",stimme zu,"Durch die Überfischung und den Klimawandel sind die Fischbestände in EU-Gewässern ohnehin bereits stark dezimiert. Dies hat Auswirkungen auf den Erhalt der Meere. Notwendig ist eine Abkehr vom industriellen Fischfang, dafür muss sich die EU auch auf globaler Ebene einsetzen."
6,FDP,Freie Demokratische Partei,21,Senkung der Fischfangquoten,"Die zulässige Menge an Fischen, die in EU-Gewässern gefangen werden dürfen, soll gesenkt werden.",stimme nicht zu,"Wir wollen jegliche Fischerei konsequent an den Grundsätzen der nachhaltigen Entwicklung orientieren, wobei Umweltverträglichkeit, soziale Aspekte und wirtschaftliche Stabilität gleichrangig zu betrachten sind. Die Fangquoten für Ostseefischer etwa sind bereits drastisch reduziert worden. Die dadurch schwierige wirtschaftliche Situation unserer Fischereibetriebe muss die EU stärker in den Blick nehmen. Auch die organisierten Freizeitangler tragen wesentlich zum angewandten Naturschutz bei."
7,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",21,Senkung der Fischfangquoten,"Die zulässige Menge an Fischen, die in EU-Gewässern gefangen werden dürfen, soll gesenkt werden.",stimme zu,"Und zwar auf Null. Fische sollen gar nicht mehr gefangen, sondern nur noch im Supermarkt eingekauft werden. In der Dose."
8,FREIE WÄHLER,FREIE WÄHLER,21,Senkung der Fischfangquoten,"Die zulässige Menge an Fischen, die in EU-Gewässern gefangen werden dürfen, soll gesenkt werden.",stimme nicht zu,"Trotz des allgemeinen verbesserten Zustands der Fischbestände in Nordsee und Atlantik ist die Selbstversorgung mit Fisch innerhalb der EU im letzten Jahrzehnt stetig zurückgegangen. Die EU muss zu einem Modell zurückkehren, in dem Produktion von und Selbstversorgung mit Primärnahrungsmitteln echte Grundprinzipien sind. Der sogenannte „Aktionsplan der EU“ mit seinen geplanten Fangverboten in allen Meeresschutzgebieten gefährdet die Existenz der Fischer."
9,Tierschutzpartei,PARTEI MENSCH UMWELT TIERSCHUTZ,21,Senkung der Fischfangquoten,"Die zulässige Menge an Fischen, die in EU-Gewässern gefangen werden dürfen, soll gesenkt werden.",stimme zu,"Die gegenwärtigen Fangquoten sorgen dafür, dass zahlreiche Fischarten aktiv bedroht sind. Sie müssen drastisch gesenkt werden, um zu verhindern, dass Arten aussterben und die ökologische Resilienz von Gewässern zerstört wird. Grundsätzlich sind wir gegen den Fischfang und streben eine Absenkung auf Null an."
10,ÖDP,Ökologisch-Demokratische Partei - Die Naturschutzpartei,21,Senkung der Fischfangquoten,"Die zulässige Menge an Fischen, die in EU-Gewässern gefangen werden dürfen, soll gesenkt werden.",stimme zu,"Beendigung der Überfischung der Meere, der Einleitung von (Mikro-)Plastik und giftigen und radioaktiven Stoffen und der Überdüngung mit Stickstoff und Phosphor. Erforschung von geeigneten Maßnahmen und deren Umsetzung zur Rettung und Sanierung der Weltmeere."
11,FAMILIE,Familien-Partei Deutschlands,21,Senkung der Fischfangquoten,"Die zulässige Menge an Fischen, die in EU-Gewässern gefangen werden dürfen, soll gesenkt werden.",stimme zu,"Die EU legt seit 40 Jahren „Fangquoten“ fest. Diese „Fangquoten“ sind höher als die wissenschaftlichen Empfehlungen. Es gibt ca. 36000 Arten, davon werden bald 60% überfischt sein, da wir zwischen 800 und 2300 Milliarden Tiere jedes Jahr fischen. Das gesamte Ökosystem Meer droht zu kippen."
12,Volt,Volt Deutschland,21,Senkung der Fischfangquoten,"Die zulässige Menge an Fischen, die in EU-Gewässern gefangen werden dürfen, soll gesenkt werden.",stimme zu,"Volt fordert die Angleichung der Fangquoten in der Fischerei an die Empfehlungen des Internationalen Rates für Meeresforschung (ICES). Damit diese Quoten eingehalten werden, sollen die Treffen des ICES transparenter gemacht werden. Außerdem sollen die Mitgliedstaaten Rechenschaft über die finalen Fangquoten ablegen müssen, da diese derzeit oft die Empfehlungen des ICES für nachhaltige Fischerei übersteigen."
13,PIRATEN,Piratenpartei Deutschland,21,Senkung der Fischfangquoten,"Die zulässige Menge an Fischen, die in EU-Gewässern gefangen werden dürfen, soll gesenkt werden.",stimme zu,Die Fangquoten müssen sich am bestehenden Bestand orientieren. Durch diese Regulierung ist ein ausreichender zukunftsfähiger Bestand zu sichern.
14,MERA25,MERA25 - Gemeinsam für Europäische Unabhängigkeit,21,Senkung der Fischfangquoten,"Die zulässige Menge an Fischen, die in EU-Gewässern gefangen werden dürfen, soll gesenkt werden.",stimme zu,"Bei der Hälfte der Fischarten werden die wissenschaftlich empfohlenen Fangquoten in EU Gewässern um 20 bis 35 % überschritten. Darunter leiden sowohl die Ökosysteme als auch die Fischer. Wir wollen Fischereien fördern, die biodiversitätsfördernde Praktiken entwickeln wie die Produktion von Meeresalgen und Schalentieren, die neben der Eiweißproduktion viele weitere Vorteile für das Ökosystem bieten — einschließlich CO2-Speicherung, Wiederherstellung von Lebensräumen und Wasserreinigung."
